Mean 2013 SAT Scores by State						
States are ranked by combined 2013 SAT Scores						
Rank	State	Participation	Reading	Math	Writing	Combined
1	Illinois	5%	600	617	590	1807
2	NorthDakota	2%	609	609	581	1799
3	Michigan	4%	590	610	582	1782
4	Minnesota	6%	595	608	577	1780
5	Missouri	4%	596	595	582	1773
6	Wisconsin	4%	591	604	576	1771
7	Iowa		3%	592	601	570	1763
8	SouthDakota	3%	592	601	567	1760
9	Wyoming		4%	581	588	588	1757
10	Kansas		6%	589	595	568	1752
11	Kentucky	5%	585	584	572	1741
12	Nebraska	4%	584	583	567	1734
13	Colorado	14%	578	581	562	1721
14	Tennessee	8%	574	569	566	1709
15	Arkansas	4%	572	570	555	1697
16	Oklahoma	5%	571	569	549	1689
17	Utah		6%	569	566	549	1684
18	Mississippi	3%	568	547	558	1673
19	Louisiana	5%	556	553	546	1655
20	Ohio		17%	548	556	531	1635
21	NewMexico	12%	550	542	531	1626
22	Alabama		7%	544	534	530	1608
23	Montana		25%	539	540	516	1595
24	NewHampshire	70%	524	528	515	1567
25	Massachusetts	83%	515	529	509	1553
26	Arizona		35%	521	528	502	1551
27	Vermont		61%	516	512	505	1540
28	Oregon		49%	520	520	499	1539
29	Washington	60%	515	523	499	1537
30	Connecticut	85%	508	512	512	1532
31	Virginia	71%	516	514	498	1528
32	NewJersey	78%	499	522	500	1521
33	WestVirginia	15%	514	501	498	1513
34	California	57%	498	512	495	1505
35	Alaska		52%	508	505	482	1495
36	Maryland	73%	497	500	486	1483
37	Pennsylvania	71%	494	504	482	1480
38	NorthCarolina	62%	495	506	478	1479
39	Indiana		70%	493	500	477	1470
40	RhodeIsland	72%	491	490	487	1468
41	NewYork		76%	485	501	477	1463
42	Florida		67%	492	490	475	1457
43	Nevada		48%	492	494	468	1454
44	Hawaii		64%	481	504	468	1453
45	Georgia		75%	490	487	475	1452
46	Texas		59%	477	499	461	1437
47	SouthCarolina	64%	484	487	465	1436
48	WashingtonDC	91%	473	466	461	1400
49	Maine		95%	462	467	451	1380
50	Idaho		99%	454	459	451	1364
51	Delaware	100%	451	457	443	1351
